,Unnamed: 0,Unnamed: 0.1,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,class
11,11,4,126.0,14.0,66.0,2.0,0.0,0.0,0.0,0.0,2.1734703,0.0,0.0,,,93.64994,93.64994,92.3065,93.53822,-1.0,-1.0,123.61,1.8463761,0.06923163,0.9273829,4.5692873,-117.10979,29.960058,-1.0,0.0,0.0,0.07280138,0.0010891282,0.21773231,,0.0,0.6410985,4
12,12,5,154.0,14.0,66.0,2.0,0.0,0.0,0.0,0.0,3.5127091,0.0,0.0,,,93.64994,93.64994,90.9414,93.4318,-1.0,-1.0,123.282104,1.827034,0.08531543,0.9080743,5.6308184,-90.468,29.632162,-1.0,0.0,0.0,0.1408551,0.0021393348,0.24002083,,0.0,0.64772725,4
13,13,6,182.0,14.0,70.0,2.0,0.0,0.0,0.0,0.0,6.7745476,0.0,0.0,,,99.3257,99.3257,94.08286,99.14222,-1.0,-1.0,130.35925,1.8119959,0.118174784,0.87658304,8.272235,-70.82232,31.033556,-1.0,0.0,0.0,0.3667916,0.0052055824,0.39164108,,0.0,0.6354167,4
14,14,0,14.0,14.0,32.0,2.0,0.0,0.0,0.0,0.0,4.582218,0.0,0.0,-1439.777,-16.767757,45.406033,45.406033,42.768745,45.340782,-1.0,-1.0,59.986134,1.8778329,0.03454362,0.96137816,1.1053958,-41.427647,14.5801,-1.0,0.0,0.0,0.14294519,0.004438432,0.21464424,-1.0296618,0.0,0.8701754,5
15,15,1,42.0,14.0,58.0,2.0,0.0,0.0,0.0,0.0,5.491817,0.0,0.0,-11428.496,15.731556,82.29843,82.29843,77.72074,82.01851,-1.0,-1.0,109.24986,1.9015377,0.03278548,0.9575622,1.9015578,-110.51373,26.951427,-1.0,0.0,0.0,0.27397272,0.0047404584,0.3171234,-0.7406412,0.0,0.8789474,5
16,16,2,70.0,14.0,64.0,2.0,0.0,0.0,0.0,0.0,5.485567,0.0,0.0,-28639.361,40.41891,90.812065,90.812065,87.33363,91.71062,-1.0,-1.0,123.472015,1.9911734,0.04812357,0.97995603,3.0799084,-109.053894,32.65995,-1.0,0.0,0.0,0.26811668,0.004179183,0.3540216,-0.5293174,0.0,0.8780702,5
17,17,3,98.0,14.0,66.0,2.0,0.0,0.0,0.0,0.0,5.6935115,0.0,0.0,-54706.855,58.058975,93.64994,93.64994,89.41491,94.07086,-1.0,-1.0,128.33849,2.0197377,0.06345988,0.9492953,4.188352,-96.157265,34.68854,-1.0,0.0,0.0,0.3010763,0.0045469846,0.32438084,-0.47981393,0.0,0.8885965,5
18,18,4,126.0,14.0,66.0,2.0,0.0,0.0,0.0,0.0,5.802733,0.0,0.0,,,93.64994,93.64994,88.627686,93.75893,-1.0,-1.0,127.520935,1.9929357,0.08802303,0.91527957,5.80952,-76.11484,33.87099,-1.0,0.0,0.0,0.35351256,0.0053447485,0.40113646,,0.0,0.9122807,5
19,19,5,154.0,14.0,67.0,2.0,0.0,0.0,0.0,0.0,6.128928,0.0,0.0,,,95.06888,95.06888,89.000465,94.97698,-1.0,-1.0,128.11177,1.9506642,0.13047785,0.8667789,8.742016,-61.15854,33.04289,-1.0,0.0,0.0,0.42398375,0.006371294,0.5360652,,0.0,0.9263158,5
20,20,6,182.0,14.0,69.0,2.0,0.0,0.0,0.0,0.0,7.4230976,0.0,0.0,,,97.90676,97.90676,90.38117,97.78433,-1.0,-1.0,130.80461,1.915777,0.21831687,0.7781347,15.063864,-46.223522,32.897854,-1.0,0.0,0.0,0.5910875,0.008519271,0.7481209,,0.0,0.9157895,5
21,21,0,14.0,14.0,10.0,2.0,0.0,0.0,0.0,0.0,3.5487485,0.0,0.0,-209.36507,24.367758,14.189385,14.189385,13.699359,14.171504,-1.0,-1.0,17.587767,1.1728452,0.0034574203,0.9929662,0.034574203,-18.698837,3.3983812,-1.0,0.0,0.0,0.033703502,0.0033837024,0.027801272,1.0628755,0.0,0.529985,6
22,22,1,42.0,14.0,33.0,2.0,0.0,0.0,0.0,0.0,1.5587813,0.0,0.0,-650.1599,101.56777,46.82497,46.82497,45.95019,46.696293,-1.0,-1.0,61.17,1.2135569,0.001908585,0.9902928,0.062983304,-111.259125,14.345027,-1.0,0.0,0.0,0.032550283,0.0009861997,0.106967375,1.2960814,0.0,0.5809595,6
23,23,2,70.0,14.0,46.0,2.0,0.0,0.0,0.0,0.0,0.6757306,0.0,0.0,4357.704,162.02226,65.27117,65.27117,65.98563,66.08897,-1.0,-1.0,82.57967,1.0916572,0.003505738,1.0320504,0.16126394,-152.90704,17.3085,-1.0,0.0,0.0,0.0122218635,0.0002648229,0.12640566,1.715381,0.0,0.66023237,6
24,24,3,98.0,14.0,55.0,2.0,0.0,0.0,0.0,0.0,0.40963304,0.0,0.0,9872.663,209.00586,78.04162,78.04162,78.951485,78.593315,-1.0,-1.0,96.77948,1.002597,0.006174093,1.0138873,0.3395751,-172.20493,18.73786,-1.0,0.0,0.0,0.010282045,0.00019284671,0.16355968,1.7615966,0.0,0.69490254,6
