,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,sum,class
8,28.0,2.0,93.0,2.0,0.0,0.08277987,2.6551285,32.074566,2.2448049,13.207922,12.575757,1284.5151,232.5089,131.96129,125.067024,131.5791,131.9698,-1.0,-1.0,145.14313,1.2795862,0.34643665,0.65374684,32.21861,48.23085,20.076105,-1.0,6.8942614,-6.8942614,0.13190132,0.001414092,0.032410003,1.8909441,0.728994,0.6150125,0.6150125,4
9,30.0,2.0,95.0,2.0,0.0,0.06521603,2.9999826,46.000694,1.0194548,12.908874,12.652822,1482.5323,241.54195,134.79916,119.977936,134.57953,134.806,-1.0,-1.0,143.91008,1.1889291,0.6009723,0.39917168,57.09237,103.086754,23.932142,-1.0,14.821222,-14.821222,0.0379112,0.00039448484,0.022409633,1.8120117,0.724544,0.602944,0.602944,4
0,12.0,2.0,26.0,2.0,0.0,0.097221315,2.860387,29.421398,6.9491467,15.017003,12.355072,191.56676,62.313606,36.892403,32.93826,36.34346,36.889454,-1.0,-1.0,39.503925,1.1981316,0.08434857,0.91542464,2.1930628,-31.46445,6.565665,-1.0,3.9541414,-3.9541414,0.08922543,0.0034275579,0.017227601,1.7102977,0.5158735,0.6574125,0.6574125,5
1,14.0,2.0,33.0,2.0,0.0,0.08697146,3.2562401,37.44033,7.628025,15.12185,12.302215,268.644,80.24011,46.82497,43.216248,46.209,46.821575,-1.0,-1.0,51.625572,1.2881818,0.08169859,0.91809565,2.6960535,-39.71365,8.409326,-1.0,3.6087253,-3.6087253,0.13378516,0.0040516364,0.016729634,1.7664608,0.5108155,0.662128,0.662128,5
2,16.0,2.0,42.0,2.0,0.0,0.07305674,3.2749932,44.828075,6.2557178,15.188322,12.343147,350.3811,102.310196,59.595417,55.44136,58.978645,59.58978,-1.0,-1.0,65.40794,1.2741727,0.08467525,0.9150561,3.5563607,-46.18655,9.966585,-1.0,4.1540594,-4.1540594,0.14261886,0.0034027714,0.01875727,1.7762578,0.5163325,0.660535,0.660535,5
3,18.0,2.0,50.0,2.0,0.0,0.05961735,3.1766574,53.284107,5.8547883,15.058588,12.426515,454.32648,123.21523,70.94693,66.64774,70.349976,70.94024,-1.0,-1.0,78.20859,1.2878708,0.090670764,0.90906173,4.5335383,-49.856308,11.560842,-1.0,4.2991805,-4.2991805,0.1639724,0.0032779374,0.021594618,1.800369,0.511876,0.661311,0.661311,5
4,20.0,2.0,58.0,2.0,0.0,0.050057158,3.4276013,68.47375,5.2351227,14.825749,12.522088,572.79004,144.51535,82.29843,77.51946,81.70098,82.292465,-1.0,-1.0,89.903046,1.2595468,0.10610501,0.8936892,6.1540904,-43.042473,12.383586,-1.0,4.7789745,-4.7789745,0.18551221,0.0031973482,0.022997992,1.8138674,0.5069625,0.657132,0.657132,5
5,22.0,2.0,65.0,2.0,0.0,0.039372776,2.98118,75.71678,4.8504357,14.499334,12.619884,709.1355,164.27681,92.231,87.34523,91.69288,92.225136,-1.0,-1.0,100.80061,1.2609497,0.1323256,0.86749405,8.601164,-32.55678,13.455383,-1.0,4.885775,-4.885775,0.19708769,0.003036574,0.02709939,1.8321581,0.49383,0.655002,0.6550015,5
6,24.0,2.0,72.0,2.0,0.0,0.030954024,3.0154712,97.41775,3.2951868,14.148748,12.715282,856.1004,183.98212,102.163574,97.489716,101.77909,102.15985,-1.0,-1.0,111.48475,1.256256,0.1663714,0.83352506,11.978741,-18.425894,13.995031,-1.0,4.6738567,-4.6738567,0.14870042,0.0020628818,0.028291875,1.8494524,0.485648,0.648665,0.648665,5
7,26.0,2.0,78.0,2.0,0.0,0.08098218,2.441004,30.142485,2.525002,13.789675,12.806103,1016.0696,201.7397,110.67721,106.302704,110.34634,110.676315,-1.0,-1.0,120.7315,1.2552783,0.23132022,0.76865715,18.042976,7.613398,14.428791,-1.0,4.374498,-4.374498,0.10654351,0.0013649099,0.030628052,1.8638757,0.476097,0.62048,0.62048,5
8,28.0,2.0,82.0,2.0,0.0,0.036980525,2.5124083,67.93868,1.7380338,13.459602,12.891525,1194.7972,215.23569,116.35296,112.01861,116.17411,116.35358,-1.0,-1.0,128.95874,1.3050711,0.35957155,0.6404434,29.484867,46.725594,16.94013,-1.0,4.334349,-4.334349,0.06410862,0.0007715583,0.030364564,1.8740727,0.4717025,0.598142,0.598142,5
9,30.0,2.0,85.0,2.0,0.0,0.035642117,2.287331,64.17495,0.6998521,13.203318,12.971583,1380.9672,226.11032,120.60977,107.42625,120.56871,120.61325,-1.0,-1.0,127.5888,1.1622361,0.62228334,0.3777985,52.894085,95.691925,20.162548,-1.0,13.183525,-13.183525,0.016023587,0.00019146026,0.02272352,1.7753075,0.4693985,0.5618115,0.5618115,5
0,12.0,2.0,42.0,2.0,0.0,0.0708244,3.2985432,46.573544,5.250038,16.102015,12.408709,213.75043,87.96946,59.595417,57.015427,58.770683,59.59733,-1.0,-1.0,68.0144,1.3968527,0.058665246,0.94142574,2.4639404,-70.30432,10.998971,-1.0,2.579993,-2.579993,0.11083064,0.002637084,0.029308973,1.8523028,0.620076,0.686948,0.686948,6
1,14.0,2.0,54.0,2.0,0.0,0.053974714,3.5198147,65.21229,5.880005,16.316214,12.288157,292.51578,114.662994,76.62268,74.19474,75.647354,76.61939,-1.0,-1.0,88.22591,1.4248725,0.058347628,0.94153076,3.1507719,-86.99328,14.031167,-1.0,2.4279413,-2.4279413,0.1745844,0.00323597,0.034525946,1.8714525,0.6160625,0.687262,0.687262,6
2,16.0,2.0,66.0,2.0,0.0,0.046006486,3.3705852,73.26326,5.3052306,16.283558,12.287844,390.94177,142.04607,93.64994,92.16467,92.66421,93.646706,-1.0,-1.0,108.966324,1.4589151,0.060866933,0.93903506,4.0172176,-98.56561,16.801653,-1.0,1.4852728,-1.4852728,0.1974644,0.0029899778,0.0361808,1.9054731,0.624241,0.69561,0.69561,6
3,18.0,2.0,76.0,2.0,0.0,0.0410815,3.403378,82.84454,5.122142,15.966107,12.33785,515.25964,166.99232,107.839325,105.476776,106.894516,107.83445,-1.0,-1.0,123.518036,1.4070787,0.07333577,0.926536,5.5735183,-99.6147,18.04126,-1.0,2.3625524,-2.3625524,0.21880326,0.002874602,0.03645386,1.9179548,0.6340635,0.682896,0.682896,6
