,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,4mean,class
4,30.0,2.0,95.0,2.0,0.0,0.0,0.0,0.0,1.1080985,0.0,0.0,1495.2378,242.84416,134.79916,134.79916,134.20865,134.72937,-1.0,-1.0,139.78156,1.1034963,0.62193024,0.37660003,59.083374,105.75058,4.9823947,-1.0,0.0,0.0,0.03902777,0.0004088635,0.03047174,1.9727303,0.0,0.618828,4
0,14.0,2.0,34.0,2.0,0.0,0.0,0.0,0.0,6.918735,0.0,0.0,227.12383,82.26099,48.24391,48.24391,47.425747,47.94735,-1.0,-1.0,49.94035,1.0982822,0.0782532,0.9043018,2.6606088,-40.43203,1.6964395,-1.0,0.0,0.0,0.13124694,0.0038593719,0.015659098,1.8052036,0.0,0.48708,5
1,18.0,2.0,51.0,2.0,0.0,0.0,0.0,0.0,5.5577602,0.0,0.0,406.37366,125.54229,72.36587,72.36587,71.36143,71.88791,-1.0,-1.0,74.9658,1.100637,0.09075924,0.89049697,4.628721,-48.422646,2.5999322,-1.0,0.0,0.0,0.17761406,0.0034820235,0.02179642,1.8370185,0.0,0.492152,5
2,22.0,2.0,67.0,2.0,0.0,0.0,0.0,0.0,5.078194,0.0,0.0,648.27966,168.69615,95.06888,95.06888,94.14871,94.56474,-1.0,-1.0,99.163315,1.1209573,0.1278736,0.85707754,8.567532,-35.586967,4.0944333,-1.0,0.0,0.0,0.2121782,0.003171869,0.021735495,1.8654121,0.0,0.543572,5
3,26.0,2.0,79.0,2.0,0.0,0.0,0.0,0.0,3.1955476,0.0,0.0,981.171,204.15408,112.096146,112.096146,111.490715,111.74255,-1.0,-1.0,117.88599,1.1454587,0.22241308,0.76863503,17.570633,5.508814,5.789842,-1.0,0.0,0.0,0.15159877,0.0019219299,0.023621809,1.9027507,0.0,0.552836,5
4,30.0,2.0,86.0,2.0,0.0,0.0,0.0,0.0,0.9438009,0.0,0.0,1390.0077,228.53746,122.02872,122.02872,121.79031,121.9758,-1.0,-1.0,126.01095,1.091949,0.6250013,0.37376708,53.750114,97.678764,3.9822342,-1.0,0.0,0.0,0.02409071,0.00028229703,0.022676757,1.9337562,0.0,0.56538,5
0,14.0,2.0,55.0,2.0,0.0,0.0,0.0,0.0,4.264795,0.0,0.0,265.69418,116.26863,78.04162,78.04162,76.7984,77.528946,-1.0,-1.0,91.579254,1.4885875,0.053374574,0.9279826,2.9356015,-88.35491,13.537635,-1.0,0.0,0.0,0.1322349,0.002403955,0.030717855,1.8707994,0.0,0.532648,6
1,18.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,4.6201444,0.0,0.0,465.7812,169.43152,109.25827,109.25827,107.64284,108.46076,-1.0,-1.0,124.43327,1.3896211,0.06741714,0.91186833,5.1911197,-99.93272,15.175006,-1.0,0.0,0.0,0.22535633,0.0029275827,0.034235805,1.8981373,0.0,0.578312,6
2,22.0,2.0,95.0,2.0,0.0,0.0,0.0,0.0,4.399079,0.0,0.0,765.94037,217.81866,134.79916,134.79916,133.33301,133.97194,-1.0,-1.0,150.316,1.3219519,0.10683471,0.87575,10.149298,-76.7196,15.516833,-1.0,0.0,0.0,0.24932083,0.0026251115,0.037286695,1.9464457,0.0,0.606856,6
3,26.0,2.0,108.0,2.0,0.0,0.0,0.0,0.0,3.00513,0.0,0.0,1171.2246,256.62503,153.24536,153.24536,152.25687,152.70116,-1.0,-1.0,169.36984,1.2943658,0.19664593,0.79327554,21.23776,-16.977106,16.124481,-1.0,0.0,0.0,0.1906628,0.0017679885,0.03683223,1.9964654,0.0,0.711284,6
4,30.0,2.0,113.0,2.0,0.0,0.0,0.0,0.0,0.81467533,0.0,0.0,1660.7568,278.35294,160.34006,160.34006,160.25122,160.25677,-1.0,-1.0,176.29968,1.2798408,0.55274665,0.44577867,62.460373,118.6159,15.959628,-1.0,0.0,0.0,0.023743138,0.00021191349,0.020031206,2.0340335,0.0,0.683504,6
0,14.0,2.0,41.0,2.0,0.0,0.0,0.0,0.0,4.5208893,0.0,0.0,229.67715,94.531784,58.17648,58.17648,57.33604,57.789722,-1.0,-1.0,62.578503,1.2119285,0.067685775,0.91344815,2.7751167,-52.74627,4.402023,-1.0,0.0,0.0,0.10750037,0.0026204195,0.012087391,1.809546,0.0,0.508068,7
1,18.0,2.0,60.0,2.0,0.0,0.0,0.0,0.0,5.1727123,0.0,0.0,406.3665,141.82384,85.136314,85.136314,84.025734,84.56093,-1.0,-1.0,89.90817,1.1540278,0.09105938,0.8897606,5.463563,-56.427246,4.7718606,-1.0,0.0,0.0,0.21167167,0.0035302422,0.019053714,1.8370111,0.0,0.565312,7
2,22.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,3.5266101,0.0,0.0,666.43176,187.58939,109.25827,109.25827,108.30155,108.63045,-1.0,-1.0,116.24369,1.1771402,0.12803236,0.8556606,9.858492,-42.991825,6.9854236,-1.0,0.0,0.0,0.19091904,0.0024829318,0.032050863,1.8779136,0.0,0.615,7
3,26.0,2.0,90.0,2.0,0.0,0.0,0.0,0.0,2.4641962,0.0,0.0,1033.1885,226.06442,127.70447,127.70447,127.18558,127.283,-1.0,-1.0,136.71228,1.1966913,0.21738315,0.77325046,19.564484,8.199956,9.0078125,-1.0,0.0,0.0,0.14912397,0.0016551116,0.031732902,1.9284003,0.0,0.634044,7
4,30.0,2.0,97.0,2.0,0.0,0.0,0.0,0.0,0.772271,0.0,0.0,1474.5376,251.56395,137.63704,137.63704,137.68872,137.57645,-1.0,-1.0,147.53986,1.2019383,0.5891365,0.4096133,57.14624,103.985344,9.902819,-1.0,0.0,0.0,0.02514654,0.0002589805,0.017001163,1.9650636,0.0,0.629728,7
0,14.0,2.0,34.0,2.0,0.0,0.0,0.0,0.0,9.524946,0.0,0.0,226.91702,80.41057,48.24391,48.24391,46.892094,47.921776,-1.0,-1.0,49.96378,1.0981311,0.08487477,0.8961762,2.8857422,-36.419933,1.7198694,-1.0,0.0,0.0,0.1972053,0.0057951855,0.022148397,1.8048519,0.0,0.67878,8
1,18.0,2.0,51.0,2.0,0.0,0.0,0.0,0.0,5.4493527,0.0,0.0,394.0329,123.01809,72.36587,72.36587,70.92514,71.87381,-1.0,-1.0,75.19685,1.1080192,0.09601227,0.8846909,4.896626,-42.16104,2.8309884,-1.0,0.0,0.0,0.18561894,0.0036403157,0.026125029,1.8243222,0.0,0.677132,8
2,22.0,2.0,63.0,2.0,0.0,0.0,0.0,0.0,5.5428543,0.0,0.0,649.762,157.33484,89.39313,89.39313,87.94423,88.93234,-1.0,-1.0,91.92187,1.0774578,0.13895005,0.8464219,8.753853,-21.45823,2.5287397,-1.0,0.0,0.0,0.25081268,0.00397797,0.036005672,1.866433,0.0,0.686932,8
3,26.0,2.0,71.0,2.0,0.0,0.0,0.0,0.0,4.7410936,0.0,0.0,961.6353,183.44583,100.74464,100.74464,99.49462,100.45424,-1.0,-1.0,104.82798,1.1129243,0.2516758,0.7401436,17.868982,17.140474,4.083344,-1.0,0.0,0.0,0.24656938,0.0034692816,0.03472376,1.8931177,0.0,0.71056,8
4,30.0,2.0,73.0,2.0,0.0,0.0,0.0,0.0,1.9259036,0.0,0.0,1336.1862,195.91698,103.58251,103.58251,102.64849,103.54276,-1.0,-1.0,105.72124,1.057585,0.6421406,0.35676908,46.876266,80.60351,2.1387243,-1.0,0.0,0.0,0.08426847,0.0011558445,0.04406572,1.9138223,0.0,0.733188,8
0,14.0,2.0,42.0,2.0,0.0,0.0,0.0,0.0,5.324859,0.0,0.0,215.03189,94.24642,59.595417,59.595417,58.418102,59.159218,-1.0,-1.0,62.74648,1.1465969,0.068508066,0.9107203,2.877339,-49.022022,3.1510606,-1.0,0.0,0.0,0.13905276,0.0033126634,0.023484856,1.784639,0.0,0.57912,9
1,18.0,2.0,62.0,2.0,0.0,0.0,0.0,0.0,4.1396236,0.0,0.0,388.90073,142.26328,87.97419,87.97419,86.633934,87.38549,-1.0,-1.0,93.46829,1.1739054,0.081498146,0.8995114,5.052885,-55.918064,5.494103,-1.0,0.0,0.0,0.16337912,0.00263964,0.030547602,1.8190422,0.0,0.613032,9
2,22.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,3.765056,0.0,0.0,657.88007,183.77324,109.25827,109.25827,107.99328,108.6399,-1.0,-1.0,114.44219,1.130719,0.12377187,0.86016667,9.530434,-31.527557,5.183925,-1.0,0.0,0.0,0.18805367,0.002443547,0.039864447,1.8720239,0.0,0.662956,9
3,26.0,2.0,87.0,2.0,0.0,0.0,0.0,0.0,3.2806275,0.0,0.0,1025.5846,216.61879,123.447655,123.447655,122.579315,123.049774,-1.0,-1.0,130.2107,1.1515324,0.2309138,0.7599391,20.0895,15.818692,6.763041,-1.0,0.0,0.0,0.18809082,0.0021629576,0.034812808,1.9246508,0.0,0.69652,9
4,30.0,2.0,91.0,2.0,0.0,0.0,0.0,0.0,0.94692606,0.0,0.0,1471.455,236.35649,129.12341,129.12341,128.92401,129.06451,-1.0,-1.0,136.29683,1.1550951,0.6057346,0.39297014,55.12185,99.14456,7.173423,-1.0,0.0,0.0,0.031924184,0.00035154616,0.01981853,1.9639219,0.0,0.677652,9
