,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,4mean,class
4,20.0,2.0,70.0,2.0,0.0,0.0,0.0,0.0,3.854395,14.951437,12.350643,588.19415,169.58395,99.3257,99.3257,97.96785,98.68159,-1.0,-1.0,103.83364,1.1252784,0.10116362,0.88043314,7.0814533,-57.170975,4.5079436,-1.0,0.0,0.0,0.16640335,0.0023742067,0.054163847,1.9091003,0.61952746,0.575485,2
5,22.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,4.361791,14.523265,12.433865,741.0951,189.34836,109.25827,109.25827,107.938034,108.64457,-1.0,-1.0,113.30702,1.1017743,0.12999259,0.85406697,10.009429,-42.978916,4.048755,-1.0,0.0,0.0,0.2243681,0.002912641,0.041453626,1.9293346,0.6355541,0.564633,2
6,24.0,2.0,83.0,2.0,0.0,0.0,0.0,0.0,3.6033034,14.069806,12.511836,914.2446,207.13138,117.7719,117.7719,116.79224,117.23751,-1.0,-1.0,122.90165,1.1205466,0.17304991,0.8140726,14.363143,-20.080683,5.129751,-1.0,0.0,0.0,0.19641432,0.002362559,0.045619633,1.9480152,0.6504249,0.559521,2
7,26.0,2.0,88.0,2.0,0.0,0.0,0.0,0.0,3.4103577,13.636055,12.58548,1098.0656,222.49472,124.86659,124.86659,123.94862,124.465675,-1.0,-1.0,129.43457,1.1012594,0.24867892,0.7422096,21.883745,10.419305,4.5679793,-1.0,0.0,0.0,0.19089858,0.0021660319,0.0453921,1.960391,0.6582862,0.55251,2
8,28.0,2.0,92.0,2.0,0.0,0.0,0.0,0.0,2.1630132,13.258487,12.655401,1302.285,235.43718,130.54234,130.54234,129.91002,130.34,-1.0,-1.0,139.10153,1.184234,0.36360687,0.6319937,33.45183,50.83437,8.559187,-1.0,0.0,0.0,0.10145989,0.0011017708,0.042344164,1.9726311,0.661849,0.548797,2
9,30.0,2.0,94.0,2.0,0.0,0.0,0.0,0.0,1.1052942,12.965781,12.722878,1525.8616,244.03235,133.38022,133.38022,132.952,133.38898,-1.0,-1.0,137.1103,1.0783654,0.62750876,0.37267616,58.985825,106.36014,3.7300837,-1.0,0.0,0.0,0.036846098,0.0003958511,0.033495557,1.9840724,0.6622684,0.5308635,2
0,12.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,11.187103,14.925245,12.366956,155.44318,59.568226,35.473465,35.473465,34.632446,35.260864,-1.0,-1.0,35.24882,0.98095936,0.09284302,0.8901489,2.3210754,-24.81334,-0.22464207,-1.0,0.0,0.0,0.14522919,0.0058136107,0.0183675,1.7787607,0.5833338,0.750294,3
1,14.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,9.387642,15.108128,12.278007,205.68684,78.73663,46.82497,46.82497,45.870766,46.501694,-1.0,-1.0,49.144787,1.1395775,0.08572993,0.8946773,2.8290875,-37.164333,2.3198152,-1.0,0.0,0.0,0.163676,0.004961145,0.018634666,1.7687461,0.5783378,0.746403,3
2,16.0,2.0,41.0,2.0,0.0,0.0,0.0,0.0,8.159107,15.125941,12.30543,286.7814,98.569725,58.17648,58.17648,57.137337,57.780453,-1.0,-1.0,61.529907,1.1625782,0.085518174,0.89516306,3.5062451,-43.512703,3.3534274,-1.0,0.0,0.0,0.18542932,0.0045220866,0.019472642,1.7923518,0.5723244,0.739628,3
3,18.0,2.0,49.0,2.0,0.0,0.0,0.0,0.0,6.9646034,15.006724,12.378271,371.72845,119.07347,69.527985,69.527985,68.42479,69.070274,-1.0,-1.0,72.92594,1.1377007,0.096537404,0.8847804,4.730333,-45.31312,3.3979533,-1.0,0.0,0.0,0.20095198,0.0040981257,0.023945758,1.8013752,0.5651294,0.74056,3
