,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,sum,class
1,14.0,2.0,45.0,2.0,0.0,0.39558876,3.072928,7.7679863,0.75913304,19.995056,12.734986,183.92493,92.181,63.852234,65.11549,63.995266,63.85479,-1.0,-1.0,75.34764,1.3826544,0.0052354815,0.99487823,0.23559667,-107.087326,10.23215,-1.0,1.2632573,1.2632573,0.010955975,0.00024455355,0.005350639,2.3854034,0.75101703,0.74981225,0.74981225,3
2,16.0,2.0,57.0,2.0,0.0,0.4792265,3.254146,6.7904134,0.5975618,19.758965,12.761674,234.79434,116.3206,80.87949,84.35892,81.26705,80.88177,-1.0,-1.0,96.999725,1.4369919,0.010259843,0.9898198,0.5848111,-126.10781,12.64081,-1.0,3.4794192,3.4794192,0.010033728,0.00017689868,0.0055622617,2.3971465,0.8211391,0.808509,0.808509,3
3,18.0,2.0,71.0,2.0,0.0,0.59880024,2.9846528,4.984388,0.50740033,19.127728,12.810332,284.504,142.49272,100.74464,107.82291,101.174225,100.74729,-1.0,-1.0,123.6552,1.5267125,0.018876722,0.9811982,1.3402473,-151.95807,15.832294,-1.0,7.078267,7.078267,0.009314673,0.00013113998,0.009786787,2.3967311,0.8803049,0.85551316,0.85551316,3
4,20.0,2.0,84.0,2.0,0.0,0.34756896,2.7459774,7.9005256,0.47917485,17.928125,12.849726,328.62466,165.70294,119.190834,130.30475,119.79932,119.1947,-1.0,-1.0,149.04276,1.6058595,0.033107907,0.9669839,2.781064,-144.12308,18.738,-1.0,11.113918,11.113918,0.009861432,0.00011585744,0.009841901,2.3728087,0.90192235,0.89366436,0.89366436,3
5,22.0,2.0,92.0,2.0,0.0,0.35010803,2.6040988,7.4379864,0.4679766,16.289196,12.853487,356.16132,179.2589,130.54234,145.27267,131.18843,130.54716,-1.0,-1.0,164.97627,1.6560344,0.059094984,0.9410095,5.4367385,-119.83328,19.703606,-1.0,14.730322,14.730322,0.0111877695,0.00012223014,0.014894224,2.3149211,0.9007362,0.928956,0.928956,3
6,24.0,2.0,93.0,2.0,0.0,0.42348227,2.744059,6.4797497,0.48176354,14.643645,12.812067,349.12207,179.16093,131.96129,150.05345,132.47023,131.96634,-1.0,-1.0,169.26675,1.7243159,0.11617323,0.88393533,10.804111,-62.342964,19.2133,-1.0,18.092169,18.092169,0.013838188,0.00014923187,0.018241819,2.2195926,0.9004108,0.95510834,0.95510834,3
7,26.0,2.0,90.0,2.0,0.0,0.22653499,2.8529658,12.59393,0.35507116,13.408977,12.751062,286.94058,169.54753,127.70447,147.89806,128.11841,127.70904,-1.0,-1.0,170.36533,1.8804847,0.2598829,0.7402187,23.389462,20.469866,22.467264,-1.0,20.193594,20.193594,0.0091799805,9.9040495e-05,0.030928515,2.06778,0.79671013,0.9787756,0.9787756,3
0,12.0,2.0,33.0,2.0,0.0,0.2781855,3.289696,11.825548,1.0022786,19.36036,12.63928,141.11061,69.02626,46.82497,49.135197,46.5951,46.826794,-1.0,-1.0,59.502705,1.6177187,0.0019843464,0.998126,0.06548343,-88.574066,10.367507,-1.0,2.3102262,2.3102262,0.013164711,0.00039885016,0.014713388,2.4688802,0.5930973,0.8340817,0.8340817,4
1,14.0,2.0,44.0,2.0,0.0,0.31821662,3.1836114,10.004541,0.8794596,19.728666,12.638208,191.30566,92.28593,62.433296,66.882706,62.437138,62.435875,-1.0,-1.0,80.17555,1.658466,0.0038246186,0.9962925,0.16828322,-103.8072,13.292846,-1.0,4.449411,4.449411,0.016860232,0.0003810104,0.009608987,2.496111,0.62640774,0.7237671,0.7237671,4
2,16.0,2.0,56.0,2.0,0.0,0.56817627,3.065762,5.395794,0.584042,19.533552,12.693535,243.69073,116.7798,79.460556,87.25485,79.66155,79.46296,-1.0,-1.0,104.034,1.736806,0.0068227104,0.9932629,0.3820718,-119.84107,16.779146,-1.0,7.794293,7.794293,0.009457153,0.00016951663,0.0075285346,2.5100393,0.7126806,0.82467717,0.82467717,4
3,18.0,2.0,67.0,2.0,0.0,0.5500205,2.7039604,4.916108,0.3886609,18.669336,12.758556,295.35272,138.8147,95.06888,106.50218,95.62462,95.07286,-1.0,-1.0,125.782524,1.7924637,0.01532435,0.984795,1.0267315,-139.62949,19.280338,-1.0,11.433304,11.433304,0.0070896503,0.00010390665,0.010283482,2.5011673,0.8158721,0.88059306,0.88059306,4
4,20.0,2.0,79.0,2.0,0.0,0.55380523,2.8190167,5.090267,0.39141282,17.525232,12.792978,333.8008,159.70338,112.096146,128.89214,112.80075,112.10052,-1.0,-1.0,151.07938,1.880227,0.03387014,0.96624047,2.675741,-132.67181,22.187243,-1.0,16.79599,16.79599,0.00906297,0.00011401026,0.008475359,2.466048,0.850741,0.91837806,0.91837806,4
5,22.0,2.0,88.0,2.0,0.0,0.5122821,2.8734126,5.609044,0.38736412,16.042381,12.767825,351.20453,172.74866,124.86659,145.36954,125.53634,124.87168,-1.0,-1.0,169.35867,1.9206699,0.064053126,0.9360629,5.636675,-111.923004,23.989143,-1.0,20.50294,20.50294,0.011365667,0.00012932751,0.016370201,2.3775556,0.86519986,0.9412552,0.9412552,4
6,24.0,2.0,91.0,2.0,0.0,0.76627815,2.6725767,3.487737,0.30935898,14.50869,12.714833,336.21085,173.81342,129.12341,152.15256,129.67902,129.12846,-1.0,-1.0,175.67088,1.9451891,0.1124304,0.8876807,10.231167,-59.478577,23.518333,-1.0,23.029142,23.029142,0.0064349663,7.025017e-05,0.02243278,2.2557054,0.8687827,0.9538122,0.9538122,4
7,26.0,2.0,87.0,2.0,0.0,0.56905717,3.0465527,5.353685,0.27990237,13.288285,12.65194,280.13477,163.4157,123.447655,147.17319,123.87335,123.45183,-1.0,-1.0,172.59903,2.061531,0.25301066,0.7470849,22.011927,22.045853,25.425844,-1.0,23.725533,23.725533,0.005498233,6.2149404e-05,0.042160757,2.1060464,0.84769535,0.97106886,0.97106886,4
0,12.0,2.0,36.0,2.0,0.0,0.38518184,3.2096746,8.332881,0.7680209,20.00354,12.745094,141.91328,73.46144,51.081787,51.674213,51.017384,51.083187,-1.0,-1.0,59.806206,1.4019138,0.0027026625,0.9973751,0.09729585,-94.13709,8.131993,-1.0,0.5924251,0.5924251,0.007764105,0.000215384,0.0077302363,2.4209037,0.61976665,0.6706901,0.6706901,5
1,14.0,2.0,48.0,2.0,0.0,0.4700428,3.1202977,6.6383266,0.60806423,20.40285,12.716839,192.47287,98.365814,68.10905,70.08359,68.24404,68.112686,-1.0,-1.0,80.60961,1.4384524,0.0046194294,0.995532,0.22173262,-113.841484,10.526021,-1.0,1.9745407,1.9745407,0.0069525167,0.00014488105,0.007474836,2.4420793,0.6390059,0.69230354,0.69230354,5
2,16.0,2.0,61.0,2.0,0.0,0.46284443,2.9431555,6.358844,0.6886169,20.180878,12.741378,246.10106,124.85324,86.55525,90.18981,86.90772,86.55778,-1.0,-1.0,104.116196,1.4924027,0.0089195855,0.9911633,0.54409474,-133.26385,13.926385,-1.0,3.6345606,3.6345606,0.013184797,0.00021671277,0.0084863445,2.4398537,0.6898502,0.687828,0.687828,5
3,18.0,2.0,74.0,2.0,0.0,0.54044956,3.0613308,5.6644154,0.5653864,19.335516,12.778647,298.15466,150.35239,105.00145,111.83407,105.5261,105.005295,-1.0,-1.0,129.02892,1.5631881,0.018114211,0.9819897,1.3404516,-154.45883,17.194847,-1.0,6.832617,6.832617,0.011794066,0.00016139407,0.008345711,2.4315016,0.7859084,0.71403384,0.71403384,5
4,20.0,2.0,85.0,2.0,0.0,0.45965198,2.5223196,5.487455,0.49377874,17.93513,12.806766,342.93484,170.88281,120.60977,130.68915,121.27263,120.61478,-1.0,-1.0,149.8318,1.6052943,0.03434241,0.96577525,2.9191046,-139.05934,19.14266,-1.0,10.079366,10.079366,0.013264189,0.00015529375,0.012407598,2.3948565,0.8845656,0.7958937,0.7958937,5
5,22.0,2.0,92.0,2.0,0.0,0.4644035,2.7173798,5.8513336,0.50541544,16.233786,12.801891,370.2952,182.77765,130.54234,144.68387,131.21538,130.54768,-1.0,-1.0,164.2994,1.6575377,0.060646795,0.9394692,5.579505,-114.58868,19.615522,-1.0,14.141525,14.141525,0.014522525,0.00015901217,0.01570706,2.3377235,0.93547904,0.8985514,0.8985514,5
6,24.0,2.0,93.0,2.0,0.0,0.48945317,2.5301478,5.169336,0.43171954,14.58811,12.756824,365.43445,182.55954,131.96129,149.54382,132.55211,131.96672,-1.0,-1.0,168.02373,1.706021,0.113808006,0.8863084,10.584145,-58.2051,18.479904,-1.0,17.58254,17.58254,0.012023614,0.00012889493,0.021485137,2.2424328,0.9435327,0.96224034,0.96224034,5
7,26.0,2.0,88.0,2.0,0.0,0.6862491,2.514258,3.6637688,0.3663255,13.335453,12.693297,317.91507,171.12653,124.86659,145.43759,125.295425,124.87027,-1.0,-1.0,167.23267,1.8958404,0.25173217,0.7483516,22.152431,21.200237,21.795074,-1.0,20.571,20.571,0.007157024,8.422483e-05,0.024912227,2.1229885,0.8626141,0.98107743,0.98107743,5
0,12.0,2.0,33.0,2.0,0.0,0.29300302,3.0876896,10.538081,0.9163348,19.431402,12.732409,138.31696,68.481674,46.82497,50.66165,46.69131,46.82634,-1.0,-1.0,59.90573,1.6295654,0.0023705035,0.99771243,0.07822662,-96.67279,9.24408,-1.0,3.83668,3.83668,0.012573341,0.00038010097,0.017496655,2.495736,0.58249724,0.8715389,0.8715389,6
1,14.0,2.0,44.0,2.0,0.0,0.45698032,3.2349246,7.0789146,0.5625997,19.788511,12.717261,186.0972,91.41048,62.433296,68.00807,62.531086,62.437607,-1.0,-1.0,80.04973,1.6384476,0.0042266045,0.99596936,0.1859706,-113.67872,12.041653,-1.0,5.5747805,5.5747805,0.008290516,0.00018902756,0.009927587,2.4951136,0.67024964,0.8214803,0.8214803,6
