,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,class
3,26.0,2.0,80.0,2.0,0.0,0.0,0.0,0.0,2.054438,0.0,0.0,1018.09186,205.98248,113.51508,113.51508,113.37369,113.48142,-1.0,-1.0,124.41498,1.270181,0.22499469,0.7741641,17.999575,7.3896008,10.899896,-1.0,0.0,0.0,0.09244029,0.0011622198,0.025874278,1.9209563,0.0,0.624324,5
4,30.0,2.0,88.0,2.0,0.0,0.0,0.0,0.0,0.6918267,0.0,0.0,1402.7,232.81274,124.86659,124.86659,125.05045,124.92661,-1.0,-1.0,133.81627,1.2019569,0.609712,0.39165187,53.654655,98.67079,8.949678,-1.0,0.0,0.0,0.016399937,0.00018503744,0.015906757,1.938457,0.0,0.562598,5
0,14.0,2.0,55.0,2.0,0.0,0.0,0.0,0.0,4.795232,0.0,0.0,285.4776,116.54296,78.04162,78.04162,76.9833,77.903435,-1.0,-1.0,90.560425,1.4507864,0.05707906,0.93789625,3.1393483,-87.18355,12.5188055,-1.0,0.0,0.0,0.14154279,0.0025692924,0.026934106,1.9044447,0.0,0.685555,6
1,18.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,4.288592,0.0,0.0,505.8372,169.10016,109.25827,109.25827,108.20695,109.03626,-1.0,-1.0,124.924675,1.4018476,0.07240585,0.9218276,5.5752506,-100.596924,15.666408,-1.0,0.0,0.0,0.19864409,0.0025779703,0.0363585,1.9393471,0.0,0.679678,6
2,22.0,2.0,95.0,2.0,0.0,0.0,0.0,0.0,3.0521243,0.0,0.0,815.651,217.20251,134.79916,134.79916,134.14882,134.57811,-1.0,-1.0,151.42087,1.3445473,0.10645376,0.8888924,10.113108,-75.42384,16.621708,-1.0,0.0,0.0,0.17640577,0.0018584427,0.040797338,1.9806817,0.0,0.7211905,6
3,26.0,2.0,107.0,2.0,0.0,0.0,0.0,0.0,2.0624092,0.0,0.0,1212.9977,254.39836,151.82642,151.82642,151.6365,151.77298,-1.0,-1.0,167.7153,1.2919875,0.19220997,0.8067909,20.566467,-14.950247,15.888879,-1.0,0.0,0.0,0.12500781,0.0011740612,0.035976425,2.0170636,0.0,0.756747,6
4,30.0,2.0,113.0,2.0,0.0,0.0,0.0,0.0,0.7585199,0.0,0.0,1677.3152,278.38828,160.34006,160.34006,160.69661,160.42383,-1.0,-1.0,177.08401,1.2931848,0.54437715,0.45710573,61.514618,117.208496,16.743961,-1.0,0.0,0.0,0.024943177,0.00022187278,0.015914163,2.0401664,0.0,0.680318,6
0,14.0,2.0,40.0,2.0,0.0,0.0,0.0,0.0,6.802147,0.0,0.0,264.4873,92.57696,56.75754,56.75754,56.1618,56.663757,-1.0,-1.0,63.493336,1.3333919,0.064670146,0.9306407,2.5868058,-49.633698,6.7357945,-1.0,0.0,0.0,0.15405129,0.0038483657,0.0124365,1.8687469,0.0,0.709804,7
1,18.0,2.0,59.0,2.0,0.0,0.0,0.0,0.0,5.6389794,0.0,0.0,448.91122,139.6603,83.71738,83.71738,83.112724,83.565765,-1.0,-1.0,92.72459,1.3013383,0.08138055,0.9134805,4.8014526,-59.252316,9.007213,-1.0,0.0,0.0,0.22022201,0.0037334112,0.025499288,1.8807813,0.0,0.711952,7
2,22.0,2.0,76.0,2.0,0.0,0.0,0.0,0.0,3.7135258,0.0,0.0,716.0184,184.94113,107.839325,107.839325,107.461266,107.684746,-1.0,-1.0,119.41384,1.3006343,0.120896086,0.8750361,9.188103,-40.785664,11.5745125,-1.0,0.0,0.0,0.20634961,0.0027172372,0.028446162,1.9120641,0.0,0.717727,7
3,26.0,2.0,89.0,2.0,0.0,0.0,0.0,0.0,2.3916616,0.0,0.0,1060.9785,222.98894,126.28553,126.28553,126.34943,126.24732,-1.0,-1.0,140.85655,1.3235602,0.21091813,0.7882235,18.771713,4.9534197,14.571023,-1.0,0.0,0.0,0.14497921,0.0016236993,0.02586007,1.9421035,0.0,0.7134845,7
4,30.0,2.0,96.0,2.0,0.0,0.0,0.0,0.0,0.8586569,0.0,0.0,1470.5721,248.12617,136.2181,136.2181,136.65285,136.28267,-1.0,-1.0,152.28023,1.3313013,0.560494,0.440851,53.807426,99.915985,16.062128,-1.0,0.0,0.0,0.037570965,0.0003980198,0.01200732,1.9635949,0.0,0.629401,7
0,14.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,13.821667,0.0,0.0,243.9549,77.796425,46.82497,46.82497,45.70952,46.745728,-1.0,-1.0,42.208183,0.71391416,0.0804402,0.9147572,2.6545267,-31.528412,-4.6167884,-1.0,0.0,0.0,0.2939302,0.008902976,0.014511375,1.8338279,0.0,0.728196,8
1,18.0,2.0,50.0,2.0,0.0,0.0,0.0,0.0,9.907385,0.0,0.0,412.23526,119.219,70.94693,70.94693,69.775475,70.815025,-1.0,-1.0,66.57003,0.818994,0.0882789,0.90644515,4.4139447,-42.891598,-4.3768964,-1.0,0.0,0.0,0.3836695,0.0076789963,0.023190983,1.8430488,0.0,0.743657,8
2,22.0,2.0,63.0,2.0,0.0,0.0,0.0,0.0,7.6637244,0.0,0.0,637.01245,154.81328,89.39313,89.39313,88.43563,89.27357,-1.0,-1.0,83.15725,0.7951841,0.13243671,0.8637677,8.343513,-24.466986,-6.235878,-1.0,0.0,0.0,0.39802587,0.006317045,0.03563914,1.8576523,0.0,0.768938,8
3,26.0,2.0,72.0,2.0,0.0,0.0,0.0,0.0,5.447341,0.0,0.0,901.3175,182.62805,102.163574,102.163574,101.57626,102.13979,-1.0,-1.0,97.2979,0.85672766,0.2478981,0.7514413,17.848663,16.240032,-4.865677,-1.0,0.0,0.0,0.3413826,0.0047427765,0.039698023,1.8633752,0.0,0.801793,8
4,30.0,2.0,78.0,2.0,0.0,0.0,0.0,0.0,2.0422528,0.0,0.0,1183.2585,203.37758,110.67721,110.67721,110.350716,110.72648,-1.0,-1.0,110.52422,0.9864278,0.59879243,0.4024709,46.70581,81.67651,-0.15298226,-1.0,0.0,0.0,0.10870863,0.0013905986,0.024733484,1.8571824,0.0,0.807101,8
0,14.0,2.0,44.0,2.0,0.0,0.0,0.0,0.0,7.781311,0.0,0.0,240.2705,96.697876,62.433296,62.433296,61.43788,62.316017,-1.0,-1.0,64.7201,1.10021,0.061914027,0.9327554,2.7242172,-50.120945,2.286805,-1.0,0.0,0.0,0.21611312,0.0049125706,0.021705147,1.8275619,0.0,0.696754,9
1,18.0,2.0,65.0,2.0,0.0,0.0,0.0,0.0,6.6463714,0.0,0.0,415.5997,146.22221,92.231,92.231,91.16829,92.04925,-1.0,-1.0,95.52712,1.097475,0.07426797,0.92013973,4.827418,-60.583225,3.2961178,-1.0,0.0,0.0,0.29103142,0.004479177,0.034701843,1.8465102,0.0,0.71415,9
2,22.0,2.0,83.0,2.0,0.0,0.0,0.0,0.0,5.2162867,0.0,0.0,664.9306,192.95839,117.7719,117.7719,116.990974,117.58984,-1.0,-1.0,121.83135,1.0928806,0.11084415,0.884769,9.200065,-40.652405,4.059454,-1.0,0.0,0.0,0.31560642,0.0038115117,0.041832246,1.8768797,0.0,0.737923,9
3,26.0,2.0,95.0,2.0,0.0,0.0,0.0,0.0,3.1927426,0.0,0.0,999.85535,229.69069,134.79916,134.79916,134.56735,134.75607,-1.0,-1.0,139.92027,1.1013287,0.21061422,0.78847873,20.00835,11.157557,5.1211123,-1.0,0.0,0.0,0.22661963,0.0023827937,0.039371155,1.9119638,0.0,0.747183,9
4,30.0,2.0,103.0,2.0,0.0,0.0,0.0,0.0,1.1477972,0.0,0.0,1378.8119,258.11957,146.15067,146.15067,146.337,146.22394,-1.0,-1.0,156.73615,1.199067,0.56123376,0.440189,57.807076,106.01291,10.585476,-1.0,0.0,0.0,0.060627855,0.0005927321,0.018266551,1.9296097,0.0,0.726252,9
